Campeões,Win Rate(%),Pick Rate(%),Ban rate(%),Saturação
Aatrox,0.49700000000000005,0.0716,0.0928,0
Ahri,0.5055,0.1255,0.0665,0
Akali,0.49200000000000005,0.0139,0.0158,0
Akshan,0.5,0.0161,0.013000000000000001,0
Alistar,0.48869999999999997,0.0317,0.0106,0
Ambessa,0.5015,0.0833,0.33299999999999996,0
Amumu,0.5168,0.053099999999999994,0.0412,0
Anivia,0.5246,0.0161,0.0109,0
Annie,0.499,0.0121,0.0031,0
Aphelios ,0.4857,0.0366,0.008199999999999999,0
Ashe,0.5,0.1791,0.1285,0
Aurelion Sol,0.5106,0.0227,0.0113,0
Aurora,0.4928,0.031400000000000004,0.058499999999999996,0
Azir,0.48219999999999996,0.0222,0.0036,0
Bardo,0.5004,0.0246,0.0037,0
Bel'Veth,0.4919,0.0155,0.015700000000000002,0
Blitzcrank,0.49340000000000006,0.0677,0.214,0
Brand,0.5157,0.0418,0.0424,0
Braum,0.5093,0.0452,0.0209,0
Briar,0.5233,0.037200000000000004,0.0495,0
Caitlyn,0.5019,,0.2816,0
Camille,0.4902,0.0268,0.012,0
Cassiopeia,0.5238,0.0175,0.0118,0
Cho'gath,0.5177,0.0353,0.0079,0
Corki(adc),0.4997,0.0616,0.0554,0
Darius,0.49450000000000005,0.0719,0.162,0
Diana(mid),0.5108,0.0301,0.0102,0
Dr.Mundo,,0.048799999999999996,0.0373,0
Draven,0.4962,0.0407,0.12380000000000001,0
Ekko,0.5102,0.021,0.0032,0
Elise,0.5058,0.0319,0.028900000000000002,0
Evelynn,0.48560000000000003,0.023,0.0219,0
Ezreal,0.4904,0.13849999999999998,0.047,0
Fiddlesticks,0.5065,0.0236,0.0083,0
Fiora,0.4918,0.028300000000000002,0.0335,0
Galio,0.5146999999999999,0.0696,0.0455,0
Gangplank,0.4905,0.0275,0.0105,0
Garen,0.5047999999999999,0.0601,0.0381,0
Gnar,0.4947,0.0407,0.0115,0
Gragas,0.4932,0.0364,0.011699999999999999,0
Gragas(mid),0.4963,0.0070999999999999995,0.0023,0
Graves,0.5043,0.1291,0.171,0
Gwen,0.4894,0.0265,0.021,0
Hecarim,0.4863,0.0291,0.0138,0
Heimerdinger,0.531,0.0085,0.0077,0
Hwei(mid),0.5035000000000001,0.0644,0.0787,0
Irelia,0.5017,0.0368,0.0528,0
Ivern,0.4975,0.0074,0.0024,0
Janna,0.5182,0.0276,0.0058,0
Jarvan IV,0.5063,0.039599999999999996,0.0088,0
Jax,0.48310000000000003,0.0546,0.0407,0
Jayce,0.4721,0.0159,0.0027,0
Jhin,0.5068,0.20679999999999998,0.0862,0
Jinx,0.5025,0.1845,0.0378,0
K'sante,0.46990000000000004,0.048600000000000004,0.0481,0
Kai'Sa,0.486,0.1168,0.0291,0
Kalista,0.4705,0.018799999999999997,0.0059,0
Karma ,0.5036,0.0632,0.0215,0
Karthus,0.4993,0.0209,0.0203,0
Kassadin,0.49920000000000003,0.0159,0.0118,0
Katarina,0.4903,0.062,0.0645,0
Kayle,0.5146000000000001,0.0246,0.0066,0
Kayn,0.5106,0.0814,0.0516,0
Kennen,0.4936,0.0144,0.0066,0
Kha'zix,0.4954,0.0596,0.0506,0
Kindred ,0.4818,0.0333,0.0118,0
Kled,0.5078,0.0108,0.004699999999999999,0
Kog'maw,0.5085999999999999,0.0394,0.1412,0
LeBlanc,0.4892,0.0559,0.1839,0
Lee sin,0.4913,0.12890000000000001,0.1069,0
Leona,0.4975,0.07150000000000001,0.08960000000000001,0
Lissandra ,0.5023,0.0271,0.0127,0
Llillia,0.5051,0.0369,0.047,0
Lucian,0.4902,0.0528,0.0103,0
Lulu,0.5088,0.0872,0.081,0
Lux,0.5175,0.046,0.0394,0
