seasonality,round,champion_saturation
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50000,1,0
50758.828356620885,2,1.0
50758.828356620885,2,0.0
50758.828356620885,2,0.0
50758.828356620885,2,0.0
50758.828356620885,2,0.0
